SeniorCitizen,tenure,MonthlyCharges,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year,Cluster,PCA1,PCA2
-0.4511889056386787,1.4790920901577789,1.115583314013732,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.2990227345073737,-1.4340586843875303
-0.4511889056386787,-1.2747834096734858,0.1734858164662863,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,-0.7308688841347186,0.6270305863679312
-0.4511889056386787,-1.0692703126711527,-1.0714287338642667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,-1.554686484907141,0.4786171221105175
-0.4511889056386787,-1.1103729320716191,1.4856930451930854,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.2854361659342859,0.502640608278278
-0.4511889056386787,-0.9459624544697528,-0.8695506986755284,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,-1.3963172292257944,0.25179425899893837
-0.4511889056386787,0.9447580379517124,-0.7013190026849131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.25351467252552096,-0.9130670537734631
-0.4511889056386787,0.0405004111414465,-1.374245786647374,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,-1.1892551717488775,-0.3071916878889807
-0.4511889056386787,-0.4116284022636864,-0.3985019499018056,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,-0.6839406351151703,-0.003072846649789941
-0.4511889056386787,1.109168515553579,1.3511076884005933,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,1.3171053723478143,-1.0306033549927676
2.2163665540145625,-1.1925781708725525,0.2407784948625324,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2,0.6582472585382805,2.458367581210397
-0.4511889056386787,1.3968868513568455,-1.5088311434398662,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1,-0.5408487476797567,-1.2483802573922067
-0.4511889056386787,-1.028167693270686,-1.239660429854882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.6433150251262976,0.4442635370802134
2.2163665540145625,0.2871161275442464,1.115583314013732,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2,2.029688016496671,1.422805462436426
-0.4511889056386787,-1.3158860290739525,-1.5088311434398662,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,-1.9268146486398403,0.6363349622434038
-0.4511889056386787,-1.1103729320716191,-1.5424774826379894,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,-1.8549775882502761,0.4765188184030304
2.2163665540145625,-1.1514755514720858,0.6781809044381322,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,0.9848975955629791,2.399873601591798
2.2163665540145625,0.6159370827479795,1.7212174195799468,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2,2.6305073413391242,1.2083800154274775
2.2163665540145625,-0.5349362604650864,0.8127662612306243,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2,1.3954852036014498,1.9756849730172987
-0.4511889056386787,-1.2336807902730191,-1.5424774826379894,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,-1.9121390368596087,0.5577982412981551
-0.4511889056386787,-0.3294231634627531,-1.5424774826379894,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,-1.452678621789872,-0.04707836043855611
-0.4511889056386787,0.1227056499423798,-1.5761238218361124,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0,-1.2875140849264837,-0.5060449674995907
-0.4511889056386787,1.6023999483591789,0.0389004596737941,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1,0.5546549992527372,-1.5472475987317496
-0.4511889056386787,-0.6171414992660196,-1.5424774826379894,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,-1.600323484529087,0.14327934019687108
-0.4511889056386787,-1.1514755514720858,0.610888226041886,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,-0.3510156899666698,0.50674760649843
